Name,Description,Latitude,Longitude,InfoURL,ImageURL,
UCSB,A great university located along the California coast!,34.416929,-119.845991,"https://en.wikipedia.org/wiki/University_of_California,_Santa_Barbara",https://www.history.ucsb.edu/wpcontent//uploads/LagoonFall2014-banner.jpg,
Paradise Falls Trail,"A fun, moderate difficulty trail that features a waterfall!",34.21426,-118.90951,www.alltrails.com/explore/trail/us/california/paradise-falls-trail,https://cdn-assets.alltrails.com/uploads/photo/image/31894403/extra_large_2f19eb94ff56908381a6b648a5d56271.jpg,
Ho Chi Minh Hiking Trail,A sort-of-secret local hiking trail down to the beach.,32.88515,-117.24913,www.alltrails.com/explore/trail/us/california/ho-chi-minh-trail,https://cdn-assets.alltrails.com/uploads/photo/image/31959135/extra_large_2ff449878626c91484ca06513e455ec6.jpg,
Lizard's Mouth,A short scrambler-type trail leading up to a peak that looks like a lizard's mouth!,34.50311,-119.86568,www.alltrails.com/explore/trail/us/california/lizard-s-mouth,https://www.hikespeak.com/img/Central-Coast/SB/Lizard/Lizards_Mouth_IMG_6329.jpg,
Franchesci Park,A park that's great for sitting and reading on a sunny day. ,34.44118,-119.69542,https://santabarbaraparks.com/parks/franceschi-park/,https://santabarbaraparks.com/wp-content/uploads/2016/03/franceschi-park-santa-barbara-4-1199x800.jpg,
Washington Park,Fun park surrounding a lake near Denver. ,39.70721,-104.97221,www.alltrails.com/explore/trail/us/colorado/washington-park-loop,https://cdn-assets.alltrails.com/uploads/photo/image/31881124/extra_large_0568d1a23e79faff9d5acd44d9a9231d.jpg,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
